"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"FZEP";"FWF-401-FSP";"";""
"FSP S";"FZEP-501-FSP-12-U-D2-RG";"";""
"FSP";"FSP_S-501-FFOR-4010/3650";"";""
"FFOR";"FSP-FFS";"";""
"F066C";"FFOR-FFS";"";""
"F065C";"FFOR-FFS";"";""
"FFS";"FFOR-508-FO";"";""
"F103G";"FFS-FO";"";""
"F203B";"FFS-FO";"";""
"F104B";"FFS-FO";"";""
"F204D";"FFS-FO";"";""
"F105F";"FFS-FO";"";""
"F205A";"FFS-FO";"";""
"F106A";"FFS-FO";"";""
"F206E";"FFS-FO";"";""
"FO";"FFS-3-703-FO_G-3600";"";""
"FO  G";"FO-13-FMHO";"";""
"F567A";"FO_G-FMHO";"";""
"F576A";"FO_G-FMHO";"";""
"FMHO";"FO_G-FH_M";"";""
"F527B";"FMHO-FH  M";"";""
"F536A";"FMHO-FH_M";"";""
"F517B";"FMHO-FH_M";"";""
"F526B";"FMHO-FH_M";"";""
"FH  M";"FMHO-FH_N";"";""
"FH  N";"FH_M-7-FWFG";"";""
"FWFG";"FH_N-602-FSLB-3600/3677";"";""
"F273A";"FWFG-FSLB";"";""
"F274A";"FWFG-FSLB";"";""
"F277A";"FWFG-FSLB";"";""
"F278A";"FWFG-FSLB";"";""
"FROD";"FWFG-2-FSLB";"";""
"F281A";"FWFG-2-FSLB";"";""
"F282A";"FWFG-FSLB";"";""
"F285A";"FWFG-FSLB";"";""
"F286A";"FWFG-FSLB";"";""
"FSLB";"FWFG-202-FHME-3677/3600";"";""
"F251A";"FSLB-FHME";"";""
"F252A";"FSLB-FHME";"";""
"F253A";"FSLB-FHME";"";""
"F254B";"FSLB-FHME";"";""
"FNMI";"FSLB-FHME";"";""
"F541A";"FSLB-FHME";"";""
"F542A";"FSLB-FHME";"";""
"F543A";"FSLB-FHME";"";""
"F544A";"FSLB-FHME";"";""
"FHME";"FSLB-302-FGEL";"";""
"FGEL";"FHME-503-FWIR";"";""
"F596A";"FGEL-FWIR";"";""
"F592B";"FGEL-FWIR";"";""
"F593B";"FGEL-FWIR";"";""
"FHAI";"FGEL-FWIR";"";""
"F594A";"FGEL-FWIR";"";""
"F595A";"FGEL-FWIR";"";""
"F597A";"FGEL-FWIR";"";""
"FWIR";"FGEL-603-FWAE";"";""
"F772A";"FWIR-FWAE";"";""
"F773A";"FWIR-FWAE";"";""
"F774A";"FWIR-FWAE";"";""
"F775A";"FWIR-FWAE";"";""
"FWAE";"FWIR-702-FBSS";"";""
"F782A";"FWAE-FBSS";"";""
"F783A";"FWAE-FBSS";"";""
"F784A";"FWAE-FBSS";"";""
"F785A";"FWAE-FBSS";"";""
"F786A";"FWAE-FBSS";"";""
"F787A";"FWAE-FBSS";"";""
"FBSS";"FWAE-802-FSA";"";""
"F172A";"FBSS-FSA";"";""
"F173A";"FBSS-FSA";"";""
"F174A";"FBSS-FSA";"";""
"F176A";"FBSS-FSA";"";""
"F175A";"FBSS-FSA";"";""
"FSA";"FBSS-102-FSUE";"";""
"F222B";"FSA-FSUE";"";""
"F223B";"FSA-FSUE";"";""
"F224A";"FSA-FSUE";"";""
"F225A";"FSA-FSUE";"";""
"FSUE";"FSA-202-FSUEZ";"";""
"FSUEZ";"FSUE-FFD";"";""
"F103F";"FSUEZ-FFD";"";""
"F202E";"FSUEZ-FKA";"";""
"F105D";"FSUEZ-FFD";"";""
"F086A";"FSUEZ-FFD";"";""
"F087A";"FSUEZ-FFD";"";""
"FFD";"FSUEZ-8-FNFS";"";""
"F693B";"FFD-FNFS";"";""
"F692A";"FFD-FNFS";"";""
"FNFS";"FFD-FNF";"";""
"FNF";"FNFS-601-FNF_N";"";""
"FNF N";"FNF-641-FFU";"";""
"F683A";"FNF_N-FFU_B";"";""
"F682B";"FNF_N-FFU_B";"";""
"F685A";"FNF_N-FFU_B";"";""
"F684A";"FNF_N-FFU_B";"";""
"F687B";"FNF_N-FFU_B";"";""
"F426A";"FNF_N-FFU_S";"";""
"F425A";"FNF_N-FFU_S";"";""
"FFU B";"FNF_N-FFU-3600/1733";"";""
"FFU";"FFU_B-6-FFU_N-1733";"";""
"FFU N";"FFU-FGHF-1733/3600";"";""
"F088C";"FFU_N-FGHF";"";""
"FGHF";"FFU_N-703-FMR";"";""
"F711B";"FGHF-FMR";"";""
"F816B";"FGHF-FMR";"";""
"F823A";"FGHF-FMR";"";""
"F713B";"FGHF-FMR";"";""
"F818B";"FGHF-FMR";"";""
"F718B";"FGHF-FMR";"";""
"FMR";"FGHF-803-FHUE";"";""
"F813B";"FMR-FHUE";"";""
"F822B";"FMR-FHUE";"";""
"F915A";"FMR-FHUE";"";""
"F815B";"FMR-FHUE";"";""
"F924A";"FMR-FHUE";"";""
"F824A";"FMR-FHUE";"";""
"F926A";"FMR-FHUE";"";""
"FHUE";"FMR-903-FBUH";"";""
"F927A";"FHUE-FBUH";"";""
"F917A";"FHUE-FBUH";"";""
"F928A";"FHUE-FBUH";"";""
"F918A";"FHUE-FBUH";"";""
"FBUH";"FHUE-951-FNK";"";""
"F919A";"FBUH-FNK";"";""
"F030B";"FBUH-FNK";"";""
"F921A";"FBUH-FNK";"";""
"F032B";"FBUH-FNK";"";""
"F923A";"FBUH-FNK";"";""
"F034B";"FBUH-FNK";"";""
"FNK";"FHUE-1-FOBN";"";""
"F025B";"FNK-FOBN";"";""
"F036B";"FNK-FOBN";"";""
"F027B";"FNK-FOBN";"";""
"F038A";"FNK-FOBN";"";""
"F029B";"FNK-FOBN";"";""
"F040B";"FNK-FOBN";"";""
"FOBN";"FNK-3-FBHF";"";""
"F031B";"FOBN-FBHF";"";""
"F042C";"FOBN-FBHF";"";""
"FBHF";"FOBN-3-FME";"";""
"F533B";"FBHF-FME";"";""
"F543B";"FBHF-FME";"";""
"F544B";"FBHF-FME";"";""
"FFL";"FBHF-533-FME";"";""
"F534A";"FBHF-FME";"";""
"F535A";"FBHF-FME";"";""
"F546B";"FBHF-FME";"";""
"F537A";"FBHF-FME";"";""
"FME";"FBHF-502-FBLA";"";""
"FBLA";"FME-115-FLAE";"";""
"FLAE";"FBLA-351-FB";"";""
"FB";"FLAE-8-FB__A-3600";"";""
"FB  A";"FB-FBT-3600";"";""
"FL354";"FB-FCG";"";""
"FM353";"FB-FCG";"";""
"FH364";"FB-FCG";"";""
"FG365";"FB-FCG";"";""
"FL364";"FB-FCG";"";""
"FM365";"FB-FCG";"";""
"FH392";"FB-FCG";"";""
"FG391";"FB-FCG";"";""
"FL392";"FB-FCG";"";""
"FM391";"FB-FCG";"";""
"FH366";"FB-HEBG";"";""
"FG369";"FB-HEBG";"";""
"FL368";"FB-FCG";"";""
"FM371";"FB-FCG";"";""
"FH370";"FB-FCG";"";""
"FM373";"FB-FCG";"";""
"F774B";"FB-FCG";"";""
"F772B";"FB-FCG";"";""
"F775B";"FB-FCG-fDf";"";""
"F773B";"FB-FCG";"";""
"F776A";"FB-FCG";"";""
"F777A";"FB-FCG";"";""
"FBT";"FB-779-FCG";"";""
"FCG";"FB-702-FSON";"";""
"F818C";"FCG-FSON";"";""
"F725A";"FCG-FSON";"";""
"F820A";"FCG-FSON";"";""
"F727A";"FCG-FSON";"";""
"F822C";"FCG-FSON";"";""
"FSON";"FCG-833-FRSA";"";""
"F829A";"FSON-FEGW";"";""
"F824B";"FSON-FEGW";"";""
"F831A";"FSON-FEGW";"";""
"F826A";"FSON-FEGW";"";""
"FHC";"FSON-FEGW";"";""
"FRSA";"FSON-1-FEGW";"";""
"F131A";"FHC-FEGW";"";""
"F032C";"FHC-FEGW";"";""
"FEGWS";"FSON-2-FEGW";"";""
"FEGW";"FSON-2-FBSD";"";""
"FEGWW";"FEGW-FBSD";"";""
"F033B";"FEGW-FBSD";"";""
"F034C";"FEGW-FBSD";"";""
"F035B";"FEGW-FBSD";"";""
"F036C";"FEGW-FBSD";"";""
"F037B";"FEGW-FBSD";"";""
"F038C";"FEGW-FBSD";"";""
"F039B";"FEGW-FBSD";"";""
"F040C";"FEGW-FBSD";"";""
"YFHAB";"FEGW-FBSD";"";""
"FBSD";"FEGW-1-HEBG";"";""
"FE141";"FEGW-HEBG";"";""
"FB42";"FEGW-HEBG";"";""
"FE41";"FEGW-HEBG";"";""
"FE43";"FEGW-HEBG";"";""
"FB44";"FEGW-HEBG";"";""
"FB144";"FEGW-HEBG";"";""
"FE45";"FEGW-HEBG";"";""
"FB46";"FEGW-HEBG";"";""
"FBRT";"FEGW-HEBG";"";""
"FE49";"FEGW-HEBG";"";""
"FB50";"FEGW-HEBG";"";""
"FE51";"FEGW-HEBG";"";""
"FB52";"FEGW-HEBG";"";""
"FB152";"FEGW-HEBG";"";""
"FE53";"FEGW-HEBG";"";""
"FB54";"FEGW-HEBG";"";""
"HEBG";"FB-4-HG H1";"";""
