RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HWOB;;HF(6399)-206-LOE;HF(6399)-206-LOE
HVOR;HWOB-102-LOE;;
LQOE;HWOB-LOE;;
YLHOV;HWOB-LOE;;
LOE;HVOR(6107)-3-LRI(6409);;
LBOE;LOE-LHL;;
LRI;LOE-2-LHL;;
LWST;LOE-LHL;;
LFG;LOE-2-LHL;;
LFLO;LOE-LHL;;
LHL;;LOE-4-LGLB;LGLB-4-LOE
LFLO;LHL-LWEF;;
LHBG;LHL-LWEF;;
