RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
UEI G;;UEI-302-UGO;UEI-302-UGO
U596B;UEI-UWU;;
UWU;UEI-5021-UMS;;
U 592;UWU-UMS;;
USU;UWU-UMS;;
U 593;UWU-UMS;;
U 994;UWU-UMS;;
U 591;UWU-UMS;;
USAE;UWU-UMS;;
UMS;UWU-9021UFT;;
UME;UMS-UFT;;
U 898;UMS-UFT;;
U 991;UMS-UFT;;
UFT;UEI-802-UGO;;
U 894;UFT-UGO;;
U 893;UFT-UGO;;
U 892;UFT-UGO;;
U 891;UFT-UGO;;
U 294;UFT-UGO;;
U 295;UFT-UGT;;
U 292;UFT-UGO;;
U 293;UFT-UGO;;
UGO;;UEI-102-ULS;UEI-102-ULS
