"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"HEBG";"HG-3-FK";"";""
"HESW";"HEBG-FWZN";"";""
"FWZN";"HEBG-2-FSPE";"";""
"H003G";"FWZN-FHED";"";""
"H004G";"FWZN-FHED";"";""
"H006G";"FWZN-FHED";"";""
"FGTB";"FWZN-FSPE";"";""
"H005G";"FWZN-FHED";"";""
"YHFGH";"FGTB-FHED";"";""
"FQGT";"FWZN-1-FHMD";"";""
"FHED";"FWZN-2-FHMD";"";""
"F007D";"FHED-FHMD";"";""
"F008C";"FHED-FHMD";"";""
"FHMD";"FHED-303-FSPE";"";""
"F009A";"FHMD-FSPE";"";""
"FBOF";"FHMD-FSPE";"";""
"F010A";"FHMD-FSPE";"";""
"F011A";"FHMD-FSPE";"";""
"F012A";"FHMD-FSPE";"";""
"FSPE";"FHMD-402-FIH";"";""
"F135A";"FSPE-FIH";"";""
"F136A";"FSPE-FIH";"";""
"FQIHA";"FSPE-FIH";"";""
"FIH";"FSPE-101-FKWNA";"";""
"F189A";"FIH-FKWNA";"";""
"F188B";"FIH-FKWNA";"";""
"F199A";"FIH-FKWNA";"";""
"F198A";"FIH-FKWNA";"";""
"FKWNA";"FIH-FKWNB";"";""
"FKWNB";"FKWNA-FKW";"";""
"FKWK";"FKWNB-FKW";"";""
"FKW";"FKWNB-502-602-FKOA-1733";"";""
"FKOA";"FKW-682-FKEI-1733";"";""
"FKEI";"FKOA-FSWR";"";""
"FSWR";"FKEI-FKOT";"";""
"FKOT";"FSWR-802-FKAS";"";""
"F103E";"FKOT-FWIL";"";""
"F133A";"FKOT-FWIL";"";""
"F134A";"FKOT-FWIL";"";""
"F104A";"FKOT-FWIL";"";""
"FWIL";"FKAS-FLIR";"";""
"FLIR";"FWIL-241-FMBA";"";""
"F259A";"FLIR-FMBA";"";""
"F289A";"FLIR-FMBA";"";""
"F290B";"FLIR-FMBA";"";""
"F260B";"FLIR-FMBA";"";""
"FMBA";"FLIR-FKHM";"";""
"FKHM";"FMBA-41-FHAH";"";""
"FHAH";"FKHM-FRIH";"";""
"FRIH";"FHAH-FLSW";"";""
"FLSW";"FRIH-631-FMIR";"";""
"FMIR";"FLSW-FDIE";"";""
"FDIE";"FMIR-FFU_N";"";""
"F022A";"FLSW-FFU_N";"";""
"F052D";"FLSW-FFU_N";"";""
"FFU N";"FDIE-FFU-1733";"";""
"FFU";"FFU_N-4-FFU_W-1733/3600";"";""
"FFU W";"FFU-3-FFU_B";"";""
"FFU B";"FFU_W-FNF_N-3600";"";""
"F425A";"FFU_S-FNF_N";"";""
"F426A";"FFU_S-FNF_N";"";""
"F687B";"FFU_B-FNF_N";"";""
"F684A";"FFU_B-FNF_N";"";""
"F685A";"FFU_B-FNF_N";"";""
"F682B";"FFU_B-FNF_N";"";""
"F683A";"FFU_B-FNF_N";"";""
"FNF N";"FFU-642-FNF";"";""
"FNF";"FNF_N-602-FNFS";"";""
"FNFS";"FNF-FFD";"";""
"F692A";"FNFS-FFD";"";""
"F693B";"FNFS-FFD";"";""
"FFD";"FNFS-3-FEL";"";""
"F021B";"FFD-FEL";"";""
"F022D";"FFD-FEL";"";""
"F024B";"FFD-FEL";"";""
"F023C";"FFD-FEL";"";""
"F026B";"FFD-FEL";"";""
"FEL";"FFD-3-FSTZ";"";""
"F031C";"FEL-FSTZ";"";""
"F028B";"FEL-FSTZ";"";""
"F030C";"FEL-FSTZ";"";""
"F033C";"FEL-FSTZ";"";""
"FSTZ";"FEL-2-NJS";"";""
"F032D";"FSTZ-NJS";"";""
"F035C";"FSTZ-NJS";"";""
"F037C";"FSTZ-NJS";"";""
"F034D";"FSTZ-NJS";"";""
"F036D";"FSTZ-NJS";"";""
"F039C";"FSTZ-NJS";"";""
"YFNJ";"FSTZ-NJS";"";""
"NJS";"FFU-2-NGM";"";""
