"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"FWAB";"FKOA-4-FUT";"";""
"FUT";"FWAB-2-FBOK";"";""
"F171C";"FUT-FBOK";"";""
"F121A";"FUT-FBOK";"";""
"FSL";"FWAB-FBOK";"";""
"F122B";"FUT-FBOK";"";""
"F172C";"FUT-FBOK";"";""
"FBOK";"FWAB-402-FZM";"";""
"F523B";"FBOK-FZM";"";""
"F524B";"FBOK-FZM";"";""
"FZM";"FBOK-501-FTS";"";""
"F525B";"FZM-FTS";"";""
"FSBA";"FWAB-1-FTS";"";""
"F026C";"FSBA-FTS";"";""
"F027C";"FSBA-FTS";"";""
"F028D";"FSBA-FTS";"";""
"FTS";"FZM-1-FNSM-Gz";"";""
"F029C";"FTS-FNSM";"";""
"FWRA";"FTS-FNSM";"";""
"F030F";"FTS-FNSM";"";""
"F031D";"FTS-FNSM";"";""
"FNSM";"FTS-2-FSTA";"";""
"F033D";"FNSM-FSTA";"";""
"F034E";"FNSM-FSTA";"";""
"F035D";"FNSM-FSTA";"";""
"F036E";"FNSM-FSTA";"";""
"FSTA";"FNSM-1-FKIH";"";""
"F838A";"FSTA-FKIH";"";""
"F737A";"FSTA-FKIH";"";""
"FKIH";"FSTA-801-FCOE";"";""
"F839A";"FKIH-FCOE";"";""
"F340A";"FKIH-FCOE";"";""
"FAZ";"FKIH-FCOE";"";""
"F841A";"FKIH-FCOE";"";""
"F342A";"FKIH-FCOE";"";""
"F843A";"FKIH-FCOE";"";""
"FBRG";"FKIH-FCOE";"";""
"FCOE";"FKIH-333-FMBG";"";""
"F345A";"FCOE-FMBG";"";""
"F346B";"FCOE-FMBG";"";""
"FMBG";"FCOE-4-FNL";"";""
"F047A";"FMBG-FMBS";"";""
"F048A";"FMBG-FMBS";"";""
"FMBS";"FMBG-FNDW";"";""
"F051A";"FMBS-FNL";"";""
"F052B";"FMBS-FNL";"";""
"F053B";"FMBS-FNL";"";""
"FNDW";"FMBS-FNL";"";""
"FNL";"FMBS-577-FFRL";"";""
"FFRL";"FNL-1-FLOL";"";""
"F061D";"FFRL-FLOL";"";""
"F062D";"FFRL-FLOL";"";""
"FFN";"FFRL-FLOL";"";""
"FLOL";"FFRL-1-FG_A";"";""
"F063C";"FLOL-FG__A";"";""
"F064C";"FLOL-FG__A";"";""
"F065D";"FLOL-FG__A";"";""
"F066D";"FLOL-FG__A";"";""
"FGOG";"FLOL-2-FG__A";"";""
"FG  A";"FLOL-1-3-FG";"";""
"FG";"FG__A-3-FGB";"";""
"FGB";"FG-202-FGL";"";""
"FGL";"FGB-2-FLGS";"";""
"F005C";"FGL-FLGS";"";""
"F006D";"FGL-FLGS";"";""
"F007C";"FGL-FLGS";"";""
"FLGS";"FGB-1-FBZ";"";""
"F009G";"FLGS-FBZ";"";""
"F010G";"FLGS-FBZ";"";""
"F011E";"FLGS-FBZ";"";""
"FKGS";"FLGS-1-FBZ";"";""
"F012D";"FLGS-FBZ";"";""
"F013D";"FLGS-FBZ";"";""
"F014D";"FLGS-FBZ";"";""
"F015D";"FLGS-FBZ";"";""
"F016C";"FLGS-FBZ";"";""
"F017C";"FLGS-FBZ";"";""
"F018C";"FLGS-FBZ";"";""
"FBZ";"FLGS-2-FBNA";"";""
"F019A";"FBZ-FBNA";"";""
"F020A";"FBZ-FBNA";"";""
"F021C";"FBZ-FBNA";"";""
"F022E";"FBZ-FBNA";"";""
"FOM";"FBZ-FBNA";"";""
"F023D";"FBZ-FBNA";"";""
"F024C";"FBZ-FBNA";"";""
"F025C";"FBZ-FBNA";"";""
"F027E";"FBZ-FBNA";"";""
"F029D";"FBZ-FBNA";"";""
"F026D";"FBZ-FBNA";"";""
"F028E";"FBZ-FBNA";"";""
"F030D";"FBZ-FBNA";"";""
"F031E";"FBZ-FBNA";"";""
"F033E";"FBZ-FBNA";"";""
"F032E";"FBZ-FBNA";"";""
"F034F";"FBZ-FBNA";"";""
"FBNA";"FBZ-1-FFG";"";""
"F035E";"FBNA-FFG";"";""
"F037D";"FBNA-FFG";"";""
"F036F";"FBNA-FFG";"";""
"FFG";"FBNA-2-FNRW";"";""
"FFG G";"FFG-202-FNRW";"";""
"FBB";"FFG-FNRW";"";""
"F039D";"FFG_G-FNRW";"";""
"F038D";"FFG_G-FNRW";"";""
"FNRW";"FFG-2-FGKA";"";""
"F045B";"FNRW-FGKA";"";""
"F046B";"FNRW-FGKA";"";""
"FOK";"FNRW-FGKA";"";""
"FGKA";"FNRW-3-FVL";"";""
"F103D";"FGKA-FVL";"";""
"F102B";"FGKA-FVL";"";""
"FDW";"FGKA-FVL";"";""
"F203A";"FGKA-FVL";"";""
"F202D";"FGKA-FVL";"";""
"FVL";"FGKA-8-FFBS";"";""
"FVLS";"FVL-2-FFBS";"";""
"F153A";"FVL-FFBS";"";""
"F252B";"FVL-FFBS";"";""
"F155A";"FVL-FFBS";"";""
"F254A";"FVL-FFBS";"";""
"FFBK";"FVL-FFBS";"";""
"FFBS";"FVL-1-FFGI";"";""
"F161A";"FFBS-FFGI";"";""
"F260A";"FFBS-FFGI";"";""
"FFES";"FFBS-FFGI";"";""
"FFGI";"FFBS-2-FFW";"";""
"FFW A";"FFGI-43-FFW";"";""
"FFW";"FFGI-3-FFGA";"";""
"FFME";"FFW-1-FFGA";"";""
"FFGA";"FFW-402-FFT";"";""
