"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"NJS";"NGM-1-FFU";"";""
"YFNJ";"NJS-FSTZ";"";""
"F039C";"NJS-FSTZ";"";""
"F036D";"NJS-FSTZ";"";""
"F034D";"NJS-FSTZ";"";""
"F037C";"NJS-FSTZ";"";""
"F035C";"NJS-FSTZ";"";""
"F032D";"NJS-FSTZ";"";""
"FSTZ";"NJS-1-FEL";"";""
"F033C";"FSTZ-FEL";"";""
"F030C";"FSTZ-FEL";"";""
"F028B";"FSTZ-FEL";"";""
"F031C";"FSTZ-FEL";"";""
"FEL";"FSTZ-2-FFD";"";""
"F026B";"FEL-FFD";"";""
"F023C";"FEL-FFD";"";""
"F024B";"FEL-FFD";"";""
"F022D";"FEL-FFD";"";""
"F021B";"FEL-FFD";"";""
"FFD";"FEL-7-FNFS";"";""
"F693B";"FFD-FNFS";"";""
"F692A";"FFD-FNFS";"";""
"FNFS";"FFD-FNF";"";""
"FNF";"FNFS-601-FNF_N";"";""
"FNF N";"FNF-641-FFU";"";""
"F683A";"FNF_N-FFU_B";"";""
"F682B";"FNF_N-FFU_B";"";""
"F685A";"FNF_N-FFU_B";"";""
"F684A";"FNF_N-FFU_B";"";""
"F687B";"FNF_N-FFU_B";"";""
"F426A";"FNF_N-FFU_S";"";""
"F425A";"FNF_N-FFU_S";"";""
"FFU B";"FNF_N-FFU-3600/1733";"";""
"FFU";"FFU_B-6-FFU_N-1733";"";""
"FFU N";"FFU-FGHF-1733/3600";"";""
"F088C";"FFU_N-FGHF";"";""
"FGHF";"FFU_N-703-FMR";"";""
"F711B";"FGHF-FMR";"";""
"F816B";"FGHF-FMR";"";""
"F823A";"FGHF-FMR";"";""
"F713B";"FGHF-FMR";"";""
"F818B";"FGHF-FMR";"";""
"F718B";"FGHF-FMR";"";""
"FMR";"FGHF-803-FHUE";"";""
"F813B";"FMR-FHUE";"";""
"F822B";"FMR-FHUE";"";""
"F915A";"FMR-FHUE";"";""
"F815B";"FMR-FHUE";"";""
"F924A";"FMR-FHUE";"";""
"F824A";"FMR-FHUE";"";""
"F926A";"FMR-FHUE";"";""
"FHUE";"FMR-903-FBUH";"";""
"F927A";"FHUE-FBUH";"";""
"F917A";"FHUE-FBUH";"";""
"F928A";"FHUE-FBUH";"";""
"F918A";"FHUE-FBUH";"";""
"FBUH";"FHUE-951-FNK";"";""
"F919A";"FBUH-FNK";"";""
"F030B";"FBUH-FNK";"";""
"F921A";"FBUH-FNK";"";""
"F032B";"FBUH-FNK";"";""
"F923A";"FBUH-FNK";"";""
"F034B";"FBUH-FNK";"";""
"FNK";"FHUE-1-FOBN";"";""
"F025B";"FNK-FOBN";"";""
"F036B";"FNK-FOBN";"";""
"F027B";"FNK-FOBN";"";""
"F038A";"FNK-FOBN";"";""
"F029B";"FNK-FOBN";"";""
"F040B";"FNK-FOBN";"";""
"FOBN";"FNK-3-FBHF";"";""
"F031B";"FOBN-FBHF";"";""
"F042C";"FOBN-FBHF";"";""
"FBHF";"FOBN-3-FME";"";""
"F533B";"FBHF-FME";"";""
