"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"LOE";"HVOR(6107)-2-LMGA(6185)";"";""
"LGAU";"LOE(T)-LMGA(T)";"";""
"LMGA";"LOE(6185)(T)-S225-LS(6107)(R)";"";""
"LMGN";"LMGA-R-LS";"";""
"LS  G";"LMGA-702/602-LS";"";""
"LS";"LSG-2/202-LBIN";"";""
"LBIN";"LS(6107)(R)-3-LSTL(6428)";"";""
"LSTL";"LBIN-LSHH";"";""
"LSHH";"LSTL(T)-LRW(T)";"";""
"LQRW";"LSHH-T-LRW";"";""
"LRW";"LSHH(T)(6185)-2-LBM(T)";"";""
"LBM";"LRW-T-LNS";"";""
"LNS";"LBM(R)-804-LBOW(R)";"";""
"L7740";"LBM(R)-LBOW(R)";"";""
"L7541";"LBM(R)-LBOW(R)";"";""
"LBOW";"LNS(R)-704-LRIK(R)";"";""
"LRIK";"LBOW(R)-BWUSN(T)";"";""
