"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"KLI";"KUN-1-KHGB";"";""
"K117C";"KLI-KHGB";"";""
"K118C";"KLI-KHGB";"";""
"K119A";"KLI-KHGB";"";""
"KLEU";"KLI-KHGB";"";""
"K120A";"KLI-KHGB";"";""
"K021D";"KLI-KHGB";"";""
"K022F";"KLI-KHGB";"";""
"K023E";"KLI-KHGB";"";""
"K024D";"KLI-KHGB";"";""
"KHGB";"KLI-1-KRBR";"";""
"KRBR";"KHGB-2-KLET";"";""
"K025D";"KRBR-KLET";"";""
"K026E";"KRBR-KLET";"";""
"K027F";"KRBR-KLET";"";""
"K028F";"KRBR:KLET";"";""
"K029E";"KRBR-KLET";"";""
"K030G";"KRBR-KLET";"";""
"K031F";"KRBR-KLET";"";""
"K032F";"KRBR-KLET";"";""
"KLET";"KRBR-1-KNE";"";""
"K429B";"KLET-KNE";"";""
"K430A";"KLET-KNE";"";""
"K431A";"KLET-KNE";"";""
"K432A";"KLET-KNE";"";""
"K433A";"KLET-KNE";"";""
"K434A";"KLET-KNE";"";""
"KNE";"KLET-001-KEN_G";"";""
"KNE G";"KNE-071S/H1-KENR";"";""
"K136D";"KNE_G-KENR";"";""
"K138A";"KNE_G-KENR";"";""
"K135C";"KNE_G-KENR";"";""
"KENR";"KNE_G-502-KBEN";"";""
"KBEN";"KENR-602-KVA";"";""
"KVA";"KBEN-2-KKOE";"";""
"K039A";"KVA-KKOE";"";""
"K040A";"KVA-KKOE";"";""
"KKOE";"KBEN-2-KPFD";"";""
"KPFD";"KKOE-KNL";"";""
"YFFNL";"KPFD-KNL_N";"";""
"K044B";"KPFD-KNL_N";"";""
"KNL N";"KKOE-8-KNL";"";""
"KNL";"KNL_N-8-KOL-D2";"";""
"KOL";"KNL-2-KOL_G";"";""
"KOL G";"KOL-2-FKMP-D";"";""
"K206A";"KOL_G-FKMP";"";""
"K105A";"KOL_G-FKMP";"";""
"KBRB";"KOL_G-2-FKMP";"";""
"K204A";"KOL_G-FKMP";"";""
"K103A";"KOL_G-FKMP";"";""
"K202A";"KOL_G-FKMP";"";""
"K101A";"KOL_G-FKMP";"";""
"KOSS";"KOL_G-1-FKMP";"";""
"K212A";"KOL_G-FKMP";"";""
"K111A";"KOL_G-FKMP";"";""
"FFI";"KOL_G-2-FKMP";"";""
"F210B";"KOL_G-FKMP";"";""
"F109B";"KOL_G-FKMP";"";""
"FKMP";"KOL_G-1-FLY";"";""
"F206B";"FKMP-FLY";"";""
"F105C";"FKMP-FLY";"";""
"F204B";"FKMP-FLY";"";""
"F103B";"FKMP-FLY";"";""
"FKES";"FKMP-1-FLY";"";""
"F202C";"FKMP-FYL";"";""
"F101B";"FKMP-FLY";"";""
"F210A";"FKMP-FLY";"";""
"F111A";"FKMP-FLY";"";""
"F109A";"FKMP-FLY";"";""
"F208B";"FKMP-FLY";"";""
"FSGH";"FKMP-1-FLY";"";""
