"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"HL  G";"HL-203-EHFD(1700)";"";""
"H467L";"HL-EHFD";"";""
"YHELH";"HL-EHFD";"";""
"E 462";"HL-EHFD";"";""
"E 469";"HL-EHFD";"";""
"E 464";"HL-EHFD";"";""
"EHFD";"HL(1700)-06-EBIL(1700)";"";""
"E 471";"EHFD-EBIL";"";""
"E 472";"EHFD-EBIL";"";""
"E 473";"EHFD-EBIL";"";""
"E 474";"EHFD-EBIL";"";""
"EBRAH";"EHFD-EBIL";"";""
"E 475";"EHFD-EBIL";"";""
"E 476";"EHFD-EBIL";"";""
"E 477";"EHFD-EBIL";"";""
"E 478";"EHFD-EBIL";"";""
"E 479";"EHFD-EBIL";"";""
"E 480";"EHFD-EBIL";"";""
"EBILP";"EHFD(1700)-104-EHM(1700)";"";""
"E 481";"EBIL-EHM";"";""
"E 482";"EBIL-EHM";"";""
"EBWE";"EBIL(1700)-2-EHM(1700)";"";""
"E 492";"EBIL-EHM";"";""
"E 491";"EBIL-EHM";"";""
"E 494";"EBIL-EHM";"";""
"EIAV";"EBIL-EHM";"";""
"E 493";"EBIL-EHM";"";""
"E 496";"EBIL-EHM";"";""
"EGLO";"EBIL(1700)-02-EHM(2990)";"";""
"E801A";"EBIL-EHM";"";""
"E802C";"EBIL-EHM";"";""
"E803C";"EBIL-EHM";"";""
"E 804";"EBIL-EHM";"";""
"ERDW";"EBIL(2990)-6-EHM(2990)";"";""
"E 811";"EBIL-EHM";"";""
"E 812";"EBIL-EHM";"";""
"E 813";"EBIL-EHM";"";""
"E 814";"EBIL-EHM";"";""
"EOEL";"EBIL(2990)-702-EHM(2990)";"";""
"E821A";"EBIL-EHM";"";""
"E822";"EBIL-EHM";"";""
"E 823";"EBIL-EHM";"";""
"E 824";"EBIL-EHM";"";""
"ENBMP";"EBIL(2990)-04-EHM(2990)";"";""
"ENBMG";"EBIL(2990)-104-EHM(1700)";"";""
"E 533";"EBIL-EHM";"";""
"E 532";"EBIL-EHM";"";""
"E 535";"EBIL-EHM";"";""
"E 534";"EBIL-EHM";"";""
"EAHL";"EBIL-EHM";"";""
"E 543";"EBIL-EHM";"";""
"E 542";"EBIL-EHM";"";""
"E 544";"EBIL-EHM";"";""
"E545H";"EBIL-EHM";"";""
"EHE P";"EBIL-EHM(1700)";"";""
"E547H";"EBIL-EHM";"";""
"E546A";"EBIL-EHM";"";""
"EHE";"EBIL-545-EHM";"";""
"EHM";"EHE(1700)-710-EDO(2650)";"";""
"EHRBZ";"EHM(2650)-EDO";"";""
"E 270";"EHM-EDO";"";""
"E 67";"EHM-EDO";"";""
"ESMG";"EHM-EDO";"";""
"ENOB";"EHM-EDO";"";""
"ENOBU";"EHM-EDO";"";""
"E 60";"EHM-EDO";"";""
"E 57";"EHM-EDO";"";""
"E 58";"EHM-EDO";"";""
"E 55";"EHM-EDO";"";""
"EKAM";"EHM-01-EDO";"";""
"E 54K";"EHM-EDO";"";""
"E 49";"EHM-EDO";"";""
"E 52";"EHM-EDO";"";""
"EKME";"EHM-EDO";"";""
"E 47";"EHM-EDO";"";""
"EDKU";"EHM-101-EDO";"";""
"E 155";"EHM-EDO";"";""
"EDSH";"EHM-5-EDOE";"";""
"E 30O";"EDSH-EDOE";"";""
"E 29D";"EDSH-EDOE";"";""
"EDOE";"EDSH-1-EDSN";"";""
"EDOEF";"EDOE-2-EDSN";"";""
"E 32";"EDOE-EDSN";"";""
"E 31D";"EDOE-EDSN";"";""
"EDSN";"EDOE-2-EDMG";"";""
"ENTE";"EDSN-EWAN";"";""
"EDMG";"EDO-01-EWAN";"";""
"E 438";"EDO-EWAN";"";""
"E 439";"EDO-EWAN";"";""
"ECA";"EDO-2-EWAN";"";""
"E 436";"EDO-EWAN";"";""
"E 437";"EDO-EWAN";"";""
"EHERT";"EDO(2650)-840-EWAN(2650)";"";""
"EHER";"EDO(2650)-01-EWAN(2650)";"";""
"E 710";"EDO-EWAN";"";""
"E915I";"EDO-EWAN";"";""
"EWAN";"EDO(2650)-04-EG(2650)";"";""
"E550I";"EWAN-EG";"";""
"E551I";"EWAN-EG";"";""
"E 421";"EWAN-EG";"";""
"E 422";"EWAN-EG";"";""
"EG";"EWAN(2650)-05-EEAL";"";""
"E104G";"EG-EEAL";"";""
"E 102";"EG-EEAL";"";""
"E 103";"EG-EEAL";"";""
"EEKB";"EG-EEAL";"";""
"E 100";"EG-EEAL";"";""
"E 101";"EG-EEAL";"";""
"EEAL";"EG-2-EOB";"";""
"EEBE";"EEAL(2650)-102-EOB(2650)";"";""
"E 698";"EEAL-EOB";"";""
"EEDL";"EEAL-EOB";"";""
"EEDZ";"EEAL(2650)-EOB(2277)";"";""
"E665Y";"EEDZ-EOB";"";""
"E 664";"EEDZ-EOB";"";""
"E 663";"EEDZ-EOB";"";""
"E662X";"EEDZ-EOB";"";""
"EOB O";"E 663-EOB N";"";""
"EOB N";"EOB O-EOSD";"";""
"EOSD";"EOB-401-EWES";"";""
"EOHT";"EOSD-EWES";"";""
"E 607";"EOSD-EWES";"";""
"E 657";"EOSD-EWES";"";""
"E 606";"EOSD-EWES";"";""
"E 656";"EOSD-EWES";"";""
"EDIN";"EOSD-304-EWES";"";""
"EVD";"EOSD-EWES";"";""
"EVDU";"EOSD-EWES";"";""
"E2620";"EOSD-110-EWES";"";""
"E6623";"EOSD-110-EWES";"";""
"E2621";"EOSD-110-EWES";"";""
"E2622";"EOSD-110-EWES";"";""
"EFFD";"EOSD-110-EWES";"";""
"E2623";"EOSD-110-EWES";"";""
"E2624";"EOSD-EWES";"";""
"E2625";"EOSD-EWES";"";""
"EWES";"EOSD-4-EEM H2 (Gz)";"";""
"EWFK";"EWES-EEM";"";""
"E2631";"EWES-EEM";"";""
"E2630";"EWES-EEM";"";""
"E2835";"EWES-EEM";"";""
"E2834";"EWES-EEM";"";""
"EMHO";"EWES-102-EEM";"";""
"E2843";"EWES-EEM";"";""
"EHAD";"EWES-EEM";"";""
"E3046";"EWES-EEM";"";""
"EEMP";"EWES-2-EEM H1";"";""
"EMIL";"EWES-EEM";"";""
"E0147";"EWES-EEM";"";""
"E3051";"EWES-EEM";"";""
"EPRA";"EWES-EEM";"";""
"E3256";"EWES-EEM";"";""
"E3255";"EWES-EEM";"";""
"E3258";"EWES-EEM";"";""
"EEM";"EWES-3-EXEM";"";""
"E3359";"EEM-EXEM";"";""
"E3362";"EEM-EXEM";"";""
"E3361";"EEM-EXEM";"";""
"E3364";"EEM-EXEM";"";""
"E3363";"EEM-EXEM";"";""
"E3366";"EEM-EXEM";"";""
"E3368";"EEM-EXEM";"";""
"EXEM";"EEM-XNZV";"";""
